Youtuber,subscribers,video views,category,uploads,lowest_monthly_earnings,highest_monthly_earnings,created_year
nigahiga,21000000,4380564906,Entertainment,403,619,9900,2006
Rafa & Luiz,21000000,7762905663,Entertainment,2883,29600,473600,2015
Lyrical Lemonade,21000000,10631638628,Entertainment,420,20000,320200,2013
Vlad and Niki IDN,21000000,9789121606,nan,498,33300,533400,2018
Dr. Vivek Bindra: Motivational Speaker,20900000,1693149479,Education,896,7100,114400,2013
Fatos Desconhecidos,20900000,3828000587,Entertainment,6262,13100,209300,2013
Brave Wilderness,20900000,4927879069,Pets & Animals,982,0,0,2014
LIV Crime,20900000,11058049885,People & Blogs,9850,95900,1500000,2020
Minecraft - Topic,20900000,0,nan,0,0,0,2013
Romeo Santos,20900000,17324976752,Music,6,0.02,0.4,2006
Canal Canalha,20800000,1870608170,Comedy,288,6000,95600,2011
Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,20800000,2378448129,Education,193,7300,117100,2013
Yoeslan,20700000,17963202261,Entertainment,619,218700,3500000,2020
5-Minute Crafts DIY,20700000,5091618606,Howto & Style,5062,5000,80000,2018
Zach King,20700000,5410164682,Entertainment,6,0.03,0.5,2013
tuzelity SHUFFLE,20700000,8658941531,People & Blogs,889,138100,2200000,2015
NBA,20700000,12624879732,Sports,47926,18300,292100,2005
Deddy Corbuzier,20600000,4956090094,Entertainment,15,0.02,0.34,2007
Bizarrap,20600000,7657171980,Comedy,83,48300,772700,2017
Avicii,20600000,10292874715,Music,156,20300,324900,2009
Mnet K-POP,20500000,15038593883,Entertainment,33229,39600,634200,2006
LazarBeam,20500000,8768697257,Gaming,1323,6500,104300,2015
Ninja Kidz TV,20500000,11009148579,Entertainment,296,48800,780800,2017
Totoy kids - Portuguï¿½,20400000,1796227417,Film & Animation,206,9900,158000,2014
Jake Paul,20400000,7311322368,People & Blogs,1006,3700,58600,2013
Linkin Park,20400000,13397000296,Music,0,0,0,2006
Vijay Television,20400000,29406206620,Entertainment,51515,226900,3600000,2007
SlivkiShow,20400000,4707412332,Entertainment,462,7200,116000,2012
Emiway Bantai,20400000,3579555124,Music,239,10300,165200,2013
Got Talent Global,20300000,2441288701,Entertainment,1245,21600,345800,2013
ııııııııııııııı - Genevieve's Playhouse,20300000,11022391339,Education,107,17900,287100,2018
BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552,Education,875,28200,451100,2019
Ami Rodriguez,20200000,2951914200,Entertainment,460,66000,1100000,2009
Noor Stars,20200000,2764127969,Comedy,693,3900,62200,2014
Family GamesTV,20200000,7066711323,Entertainment,0,0,0,2012
Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246,Education,226,28400,453700,2017
dednahype,20200000,20919403720,Comedy,1935,311200,5000000,2020
Marta and Rustam,20200000,19694265358,Comedy,761,113100,1800000,2021
